"Country","timePeriod","no","asynchrony","AreaHarvested","propNo","propAsynchrony","metric"
"ESP",1978,17,0.26062430703792,4453740,1,1,"asynchronyWithin"
"ESP",1988,1,0,245877.5,0.807697751658819,0,"asynchronyBetween"
"ESP",1988,2,0.0981268351,274389.166666667,0.901357436106205,0.416228714479114,"asynchronyBetween"
"ESP",1988,3,0.2096235322,287881.519607843,0.945679275783181,0.889168933689344,"asynchronyBetween"
"ESP",1988,4,0.2294847314,298994.852941176,0.982186131216347,0.973415015840113,"asynchronyBetween"
"ESP",1988,5,0.2330631778,303737.710084034,0.99776622720205,0.988593862109704,"asynchronyBetween"
"ESP",1988,6,0.2357521999,304417.710084034,1,1,"asynchronyBetween"
"ESP",1988,1,0,1572980,0.354670983801724,0,"asynchronyWithin"
"ESP",1988,2,0.18118990584386,2629950,0.592993524297413,0.414452888240162,"asynchronyWithin"
"ESP",1988,3,0.24854270802971,3174870,0.715860510840939,0.568515352520315,"asynchronyWithin"
"ESP",1988,4,0.290992417997427,3550300,0.800511382084491,0.66561460768654,"asynchronyWithin"
"ESP",1988,5,0.373224803127709,3821520,0.861665283740395,0.853712555888425,"asynchronyWithin"
"ESP",1988,6,0.387414026951523,3943820,0.889241134240052,0.886168915795878,"asynchronyWithin"
"ESP",1988,7,0.406280149064532,4051770,0.913581388217468,0.929323189557497,"asynchronyWithin"
"ESP",1988,8,0.416287678269445,4136200,0.932618420577943,0.952214362019931,"asynchronyWithin"
"ESP",1988,9,0.415632249349768,4219120,0.951314982502976,0.95071513717332,"asynchronyWithin"
"ESP",1988,10,0.418150290637656,4279650,0.964963111944875,0.956474892274537,"asynchronyWithin"
"ESP",1988,11,0.419817042366229,4324710,0.975123110501822,0.960287411877486,"asynchronyWithin"
"ESP",1988,12,0.423611524694363,4368280,0.984947148165518,0.968966891857054,"asynchronyWithin"
"ESP",1988,13,0.432633094091282,4396530,0.991316876510697,0.989602784765096,"asynchronyWithin"
"ESP",1988,14,0.43524416991299,4418410,0.996250315667953,0.995575346595628,"asynchronyWithin"
"ESP",1988,15,0.437178533399112,4427740,0.998354017100184,1,"asynchronyWithin"
"ESP",1988,16,0.437047368528264,4431830,0.9992762184783,0.999699974127667,"asynchronyWithin"
"ESP",1988,17,0.437148777235469,4435040,1,0.999931935899479,"asynchronyWithin"
"FRA",1978,1,0,108131.818181818,0.598598215501061,0,"asynchronyBetween"
"FRA",1978,2,0.5590129558,145605.38961039,0.806045138735782,0.879138784970226,"asynchronyBetween"
"FRA",1978,3,0.6262135311,166304.913419913,0.920633963953428,0.984822618422699,"asynchronyBetween"
"FRA",1978,4,0.6324256345,176326.731601732,0.976112939342757,0.994592161290216,"asynchronyBetween"
"FRA",1978,5,0.635864286,180641.731601732,1,1,"asynchronyBetween"
"FRA",1978,1,0,413420,0.115890596048025,0,"asynchronyWithin"
"FRA",1978,2,0.109220239785644,824970,0.231256990522323,0.262539276777593,"asynchronyWithin"
"FRA",1978,3,0.185534922042654,1219710,0.341911177267032,0.445981480590632,"asynchronyWithin"
"FRA",1978,4,0.190437244685883,1535130,0.430330246991447,0.457765489157265,"asynchronyWithin"
"FRA",1978,5,0.24804272608271,1799970,0.504570645272515,0.596235258625173,"asynchronyWithin"
"FRA",1978,6,0.285529651664151,2035400,0.570566782439528,0.686344842252554,"asynchronyWithin"
"FRA",1978,7,0.356782946586458,2245720,0.629524041790359,0.857620684107845,"asynchronyWithin"
"FRA",1978,8,0.391837452428015,2438630,0.683600900393291,0.941883313722104,"asynchronyWithin"
"FRA",1978,9,0.400539236574075,2627310,0.736491998217154,0.962800317025384,"asynchronyWithin"
"FRA",1978,10,0.389345960802921,2764160,0.774854022476194,0.935894365056238,"asynchronyWithin"
"FRA",1978,11,0.390824123701196,2889340,0.809944692529146,0.93944751435379,"asynchronyWithin"
"FRA",1978,12,0.399820932374304,3007760,0.843140387909165,0.961073685903859,"asynchronyWithin"
"FRA",1978,13,0.397342550685513,3105100,0.870426901912635,0.955116250382466,"asynchronyWithin"
"FRA",1978,14,0.400289088166432,3195980,0.895902537752325,0.96219902021301,"asynchronyWithin"
"FRA",1978,15,0.400424225316054,3270060,0.916668769079396,0.962523857528851,"asynchronyWithin"
"FRA",1978,16,0.407011418001154,3342830,0.937067778983161,0.978357889819341,"asynchronyWithin"
"FRA",1978,17,0.404006081709568,3404490,0.95435241483126,0.9711337817418,"asynchronyWithin"
"FRA",1978,18,0.410754156557779,3454660,0.968416154378765,0.987354536189579,"asynchronyWithin"
